0	libel	codeINSEE	2011-3 à 5 ans-Insee RP (compl	2011-F -3 à 5 ans-Insee RP (compl 	2011-G -3 à 5 ans-Insee RP (compl 	2011-F  Non scolarisée-3 à 5 ans-Insee RP (compl 	2011-G  Non scolarisé-3 à 5 ans-Insee RP (compl 	2011-3 à 5 ans Non scolarisé-Insee RP (compl 	2011-F   scolarisée-3 à 5 ans-Insee RP (compl 	2011-G   scolarisé-3 à 5 ans-Insee RP (compl 	2011-3 à 5 ans  scolarisé-Insee RP (compl 	2011-F -3 à 5 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -3 à 5 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-3 à 5 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2011-6 à 10 ans-Insee RP (compl,	2011-F,-6 à 10 ans-Insee RP (compl,	2011-G,-6 à 10 ans-Insee RP (compl,	2011-F, Non scolarisée-6 à 10 ans-Insee RP (compl,	2011-G, Non scolarisé-6 à 10 ans-Insee RP (compl,	2011-6 à 10 ans Non scolarisé-Insee RP (compl,	2011-F,  scolarisée-6 à 10 ans-Insee RP (compl,	2011-G,  scolarisé-6 à 10 ans-Insee RP (compl,	2011-6 à 10 ans  scolarisé-Insee RP (compl,	2011-F -6 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -6 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-6 à 10 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2011-3 à 10 ans-Insee RP (compl 	2011-F -3 à 10 ans-Insee RP (compl 	2011-G -3 à 10 ans-Insee RP (compl 	2011-F  Non scolarisée-3 à 10 ans-Insee RP (compl 	2011-G  Non scolarisé-3 à 10 ans-Insee RP (compl 	2011-3 à 10 ans Non scolarisé-Insee RP (compl 	2011-F   scolarisée-3 à 10 ans-Insee RP (compl 	2011-G   scolarisé-3 à 10 ans-Insee RP (compl 	2011-3 à 10 ans  scolarisé-Insee RP (compl 	2011-F -3 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -3 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-3 à 10 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2012 - Pop couverte 0-19ans - CPAM Trait  ARS	2012 - CMUC 0-19ans - CPAM Trait  ARS	2012 - Pop couverte 0-4ans - CPAM Trait  ARS	2012 - CMUC 0-4ans - CPAM Trait  ARS	2012 - Pop couverte 5-9ans - CPAM Trait  ARS	2012 - CMUC 5-9ans - CPAM Trait  ARS	2012 - Pop couverte 10-14ans - CPAM Trait  ARS	2012 - CMUC 10-14ans - CPAM Trait  ARS	2012 - Pop couverte 15-19ans - CPAM Trait  ARS	2012 - CMUC 15-19ans - CPAM Trait  ARS	2011 - Pop couverte 0-19ans - CPAM Trait  ARS	2011 - CMUC 0-19ans - CPAM Trait  ARS	2011 - Pop couverte 0-4ans - CPAM Trait  ARS	2011 - CMUC 0-4ans - CPAM Trait  ARS	2011 - Pop couverte 5-9ans - CPAM Trait  ARS	2011 - CMUC 5-9ans - CPAM Trait  ARS	2011 - Pop couverte 10-14ans - CPAM Trait  ARS	2011 - CMUC 10-14ans - CPAM Trait  ARS	2011 - Pop couverte 15-19ans - CPAM Trait  ARS	2011 - CMUC 15-19ans - CPAM Trait  ARS	Constante100	2012 - Pop couverte 0-14ans - CPAM Trait  ARS	2012 - CMUC 0-14ans - CPAM Trait  ARS	2011- 15-17 ans X Infra DNB-Insee RP 2011 (compl,	2011- 15-17 ans X DNB-Insee RP 2011 (compl,	2011- 15-17 ans X CAP BEP-Insee RP 2011 (compl,	2011- 15-17 ans X Bac ou équiv,-Insee RP 2011 (compl,	2011- 15-17 ans X Supérieur-Insee RP 2011 (compl,	2011- 15-17 ans X Total-Insee RP 2011 (compl,	2011- 2-16 ans dont Réft mén, Infra DNB Insee RP (compl,	2011- 2-16 ans dont Réft mén, DNB Insee RP (compl,	2011- 2-16 ans dont Réft mén, CAP BEP Insee RP (compl,	2011- 2-16 ans dont Réft mén, Bac ou Equiv, Insee RP (compl,	2011- 2-16 ans dont Réft mén, Dipl, supérieur Insee RP (compl,	2011- 2-16 ans dont Réft mén, Hors famille Insee RP (compl,	2011- 2-16 ans dont Réft mén, Total Insee RP (compl,	0
1	TERREAUX-BAT_D'ARGENT	693810101	66	25	41	-99999	5	5	25	36	61	-99999	9	9	119	50	69	3	5	8	48	63	111	9	8	17	185	75	110	3	10	13	73	99	172	9	17	26	413	30	130	7	90	9	97	8	96	6	414	25	133	7	96	8	93	3	92	7	100	317	24	24	44	5	12	-99999	85	48	-99999	33	48	226	3	357	0
2	LOUIS_PRADEL	693810102	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	14	-99999	-99999	-99999	4	-99999	9	-99999	1	-99999	15	-99999	1	-99999	4	-99999	8	-99999	2	-99999	100	13	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0
3	GRIFFON-ROYALE	693810201	70	25	45	-99999	5	5	25	40	64	-99999	4	4	137	74	63	1	-99999	1	73	63	136	7	3	10	207	99	108	1	5	6	98	103	200	7	7	14	417	40	120	9	108	12	103	13	86	6	426	47	120	14	105	15	114	12	87	6	100	331	34	9	37	4	3	-99999	53	26	9	25	64	251	3	376	0
4	CAPUCINS-GRIFFON	693810202	87	52	35	-99999	3	3	52	32	84	-99999	8	8	147	80	67	5	-99999	5	75	67	141	11	8	19	234	132	102	5	3	8	127	99	225	11	16	27	528	125	175	39	152	37	122	24	79	25	526	132	194	46	143	33	108	28	81	25	100	449	100	21	55	-99999	5	-99999	82	54	11	52	35	276	8	435	0
5	GRANDE_COTE-BON_PASTEUR	693810301	145	61	84	8	-99999	8	53	84	137	13	15	28	181	81	99	-99999	-99999	-99999	81	99	181	13	8	20	326	142	183	8	-99999	8	134	183	318	26	23	48	651	133	206	41	165	45	149	27	131	20	665	145	213	41	160	47	145	28	147	29	100	520	113	62	85	-99999	5	-99999	153	126	33	75	64	343	5	645	0
6	TROIS_GAULES	693810302	82	34	47	5	-99999	5	29	47	76	-99999	-99999	-99999	77	31	45	-99999	-99999	-99999	31	45	77	-99999	-99999	-99999	159	65	92	5	-99999	5	60	92	153	-99999	-99999	-99999	316	85	104	23	97	25	72	19	43	18	302	59	113	13	88	14	59	19	42	13	100	273	67	-99999	31	-99999	5	-99999	37	8	-99999	23	22	189	-99999	242	0
7	ANNONCIADE-SAINT-BENOIT	693810303	97	51	46	3	3	6	48	43	91	8	-99999	8	126	58	68	3	4	7	56	64	119	9	16	25	223	109	114	6	7	13	104	107	210	17	16	33	349	41	119	13	88	11	81	12	61	5	363	43	127	11	87	10	85	13	64	9	100	288	36	12	34	-99999	5	-99999	51	76	3	40	37	213	5	374	0
8	CHARDONNET	693810304	107	46	61	-99999	-99999	-99999	46	61	107	3	11	14	105	53	52	-99999	-99999	-99999	53	52	105	9	10	18	212	99	113	-99999	-99999	-99999	99	113	212	12	21	32	357	91	118	28	96	25	87	21	56	17	364	87	127	24	93	22	78	23	66	18	100	301	74	18	27	8	6	3	63	80	12	56	40	196	3	387	0
9	NORMALE-CHARTREUX	693810401	127	79	48	3	6	9	76	42	118	9	6	14	153	94	59	3	3	6	91	56	147	9	6	14	280	173	107	6	9	15	167	98	265	18	12	28	413	40	122	8	109	12	101	13	81	7	436	46	137	8	107	11	110	19	82	8	100	332	33	2	71	6	6	-99999	85	32	5	68	88	303	-99999	496	0
10	GIRAUD-SAINT_VINCENT	693810402	75	35	40	9	-99999	9	26	40	66	7	-99999	7	120	49	71	-99999	-99999	-99999	49	71	120	13	7	20	195	84	111	9	-99999	9	75	111	186	20	7	27	372	76	116	33	94	22	103	13	59	8	347	57	116	24	80	15	87	10	64	8	100	313	68	7	44	-99999	3	-99999	54	45	6	12	26	218	3	310	0
11	MAIRIE-MARTINIERE	693810501	46	22	24	-99999	3	3	22	21	43	-99999	-99999	-99999	84	41	43	-99999	-99999	-99999	41	43	84	3	3	5	130	63	67	-99999	3	3	63	64	127	3	3	5	293	43	96	17	70	9	70	10	57	7	298	51	94	17	72	10	67	11	65	13	100	236	36	11	51	-99999	5	3	70	25	17	38	40	157	-99999	276	0
